name,appID,playTime,playTime2,logoURL,disabled,
DiRT Rally,310560,403,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/310560/ac1200d420a187ec457597d7b954bac14693f573.jpg,false,
DiRT Showdown,201700,13,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/201700/531aad068bd1950bfff9c3f92cf908b58c507d89.jpg,false,
Dishonored,205100,119,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/205100/b94f5ff693304b7f70f88403d444686c4af3b940.jpg,false,
DisplayFusion,227260,11,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/227260/bf3469268ad02e6be697f1101a1b33d24675b776.jpg,false,
Distant Space,569610,17,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/569610/6d624bf06d2be6621b7be17c65a7c7e6204dd757.jpg,false,
DmC Devil May Cry,220440,73,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/220440/2ab620349a9efef60523e04f9d0fd9f8bb807e0e.jpg,false,
DOOM,379720,112,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/379720/2e6aa9a14a0da798fe9f1c0a4d0bacecf241c0a2.jpg,false,
DOOM 3: BFG Edition,208200,21,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/208200/e5a209be19bf207fc9950ab03bde98cc736475d6.jpg,false,
Dota 2 Test,205790,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/205790/.jpg,true,
Double Dragon Neon,252350,211,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/252350/43989029476dcdfcfc4ec6af3094e74dbab3dcb0.jpg,false,
Drayt Empire,502140,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/502140/6dec21a1a32f1f0e15912985a5e01c4327b44b33.jpg,false,
Dreaming Sarah,296870,134,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/296870/4cdfbc8074d883d9ba6131708b6d2d367bc314cc.jpg,false,
Drive Megapolis,514970,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/514970/6db225e51353a90d1f5419da0f4b1eea2f92d390.jpg,false,
Driver: Parallel Lines,21780,48,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21780/4aca75556a05dcd23f01a912492dadd3460df4c0.jpg,false,
DUCATI - 90th Anniversary,456780,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/456780/955df44a05dcf16bd12889e28b348f08697aa006.jpg,false,
Dungeon Souls,383230,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/383230/ee42f09ab90d0327927f378c5bb09194d7470daa.jpg,false,
Dying Light,239140,95,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/239140/a2656cade3af57d07d0a9622d3b52745b26b2225.jpg,false,
Eaten Alive,403560,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/403560/e035cbc631ac5f3e415d3da45faa6cbb3a889640.jpg,false,
EDGE,38740,7,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/38740/9c86ad3f647def777dc7072d72f4081b006b4844.jpg,false,
ENSLAVED: Odyssey to the West Premium Edition,245280,20,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/245280/77ec5f0a5542d439e118845060ead9fe16b4a14e.jpg,false,
Eon Altar,382050,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/382050/89d00833b754773b41a5583de718e29a0bf24d42.jpg,false,
Escape Machines,363490,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/363490/e8d2f2ac312226a123adca317d9777f4b7e19690.jpg,false,
Ethan: Meteor Hunter,266330,52,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/266330/2c4c14449e11d337e9ff351be1706f41492eca0d.jpg,false,
Etherlords,270770,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/270770/3bfe6530e26904bc3e286ff3a31fefea6a122895.jpg,false,
Etherlords II,270790,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/270790/ea1160d45033dc1b60579e5b4f8bdc3dbe6a2e5d.jpg,false,
Euro Truck Simulator,232010,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/232010/fa3886315d9586671506c7149c1e4ecae653ce13.jpg,false,
Euro Truck Simulator 2,227300,299,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/227300/719b87f11209f9f20aeb237b3c6a42992bcf7c57.jpg,false,
Eversion ,33680,3,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/33680/4dd24fc0880c8ba5b754a745f5a3a9d719a488c1.jpg,false,
Evolve Stage 2,273350,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/273350/df025d71b278e46eb9322230bbd19c0cb8004b0d.jpg,false,
F.E.A.R.,21090,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21090/df122e0ee9eb2a5371910ffda0f8a3382e09232e.jpg,false,
F.E.A.R. 2: Project Origin,16450,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/16450/41734347c3f05fe7dd797570130f5069c08f9d1b.jpg,false,
F.E.A.R. 3,21100,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21100/d2fcf83ec76e845ed19f4ff8324304e2981af391.jpg,false,
F.E.A.R.: Extraction Point,21110,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21110/df122e0ee9eb2a5371910ffda0f8a3382e09232e.jpg,true,
F.E.A.R.: Perseus Mandate,21120,0,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/21120/df122e0ee9eb2a5371910ffda0f8a3382e09232e.jpg,true,
F1 2012,208500,401,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/208500/7c481c58e00ca60fc50f08a08a4fea1dc52ba814.jpg,false,
F1 2013,223670,560,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/223670/b54656a1714724b35181f696e13bd4e01f3697c5.jpg,false,
F1 2015,286570,255,0,https://steamcdn-a.akamaihd.net/steamcommunity/public/images/apps/286570/7f31abdf6d6a1ce630cb96f3ac34a8a6be6243c8.jpg,false,
